created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T18:05:21.049Z,2026-05-01T18:05:22.782Z,famous short squeeze episodes in history,parislatinos.bsky.social,Paris Latinos,did:plc:f3ase4enld2yc5b525aymcus,0,0,0,at://did:plc:f3ase4enld2yc5b525aymcus/app.bsky.feed.post/3mkspqdx32e2u,bafyreicwzal5tdqriv3v3776fjt653rbycq6hr5emnewtf7is6umjqd34i,0.5450266003608704,"['derivatives', 'macro']","[0.5450266003608704, 0.5256652235984802]"
2026-05-01T17:54:34.774Z,2026-05-01T17:54:43.278Z,he finds his nipple quickly it s tingling before his fingers even take hold then he begins to squeeze try my free femdom erotic short story planned over fall into her devious schemes femdom bdsm erotica opensubstackcompubkisstheb,mrdfblair.bsky.social,DF Blair - Femdom Erotica,did:plc:jmmguzjlxn6uezw5sjxepte6,0,0,0,at://did:plc:jmmguzjlxn6uezw5sjxepte6/app.bsky.feed.post/3mksp53chkc2o,bafyreifqlxttzrllw5j7fs5lwin64ipa23eihbqnzhtnxqyxpwbtqcypki,0.5532582402229309,"['crypto', 'macro']","[0.5532582402229309, 0.5403288006782532]"
2026-05-01T16:04:28.497Z,2026-05-01T16:04:28.974Z,short squeeze eton 30 call 515 avg 180,ne-xacointrade.bsky.social,,did:plc:vzq4th652tezxa2dolnuhhyr,1,0,0,at://did:plc:vzq4th652tezxa2dolnuhhyr/app.bsky.feed.post/3mksiy72w5c2y,bafyreicqb27inizbj3pznpdwttgogfem3bwjpbkgqqpld2zr7qglba6ghy,0.6473693251609802,"['derivatives', 'portfolio']","[0.6473693251609802, 0.5714930891990662]"
2026-05-01T13:52:14.208Z,2026-05-01T13:52:14.779Z,bskysocial if implied vol and realized vol diverge eventually it would resync either direction if realized vol goes up we get a vol spike yall will know that as a crash but if the implied vol goes down we get volatility collapse that causes a short squeeze it is what happened,spx.fyi,angel,did:plc:ouljh55hlg2oi3vvrezfzx6p,1,0,1,at://did:plc:ouljh55hlg2oi3vvrezfzx6p/app.bsky.feed.post/3mksblqdnzc2v,bafyreig3opn6eduoqga4hop7bcv4betul2l4szri7p2ipidezw5eqtoww4,0.6161354184150696,"['derivatives', 'equities']","[0.6161354184150696, 0.595583438873291]"
2026-05-01T12:20:30+00:00,2026-05-01T12:20:34.474Z,trump bets on short iran oil crunch experts see prolonged pain and rising costs the trump administration insists that its naval blockade is putting the squeeze on iran and that the regime,newsbeep.bsky.social,,did:plc:gi6gydeibb64wvhwm6tehjht,0,0,0,at://did:plc:gi6gydeibb64wvhwm6tehjht/app.bsky.feed.post/3mks4ht7s6t24,bafyreie6ywykjioxnpi5r55l3g56w5c2547fnioy6q2w6yybhcxhdzxdle,0.5992560386657715,"['macro', 'derivatives']","[0.5992560386657715, 0.5905114412307739]"
2026-05-01T11:04:31.739406+00:00,2026-05-01T11:04:32.173Z,thats a significant data point extended negative funding periods like that create pressure for a short squeeze worth watching the catalyst that could trigger it,buzzerintelligence.com,Buzzer intelligence,did:plc:oep3fan37rbecwrogkdgze5j,0,0,0,at://did:plc:oep3fan37rbecwrogkdgze5j/app.bsky.feed.post/3mkry7udhlw2s,bafyreigy5ainlrklrzkhcovbyb55o5uo2jebarfgfpixvmrg354efarrrm,0.6200608015060425,"['macro', 'crypto']","[0.6200608015060425, 0.5951979756355286]"
2026-05-01T11:00:23+00:00,2026-05-01T11:00:27.777Z,trump bets on short iran oil crunch experts see prolonged pain and rising costs the trump administration insists that its naval blockade is putting the squeeze on iran and that the regime,newsbeep.bsky.social,,did:plc:gi6gydeibb64wvhwm6tehjht,0,0,0,at://did:plc:gi6gydeibb64wvhwm6tehjht/app.bsky.feed.post/3mkrxykw5q22a,bafyreiaso4atxaoqg3kxkuxbegqdfkaoe6t33psmzwfbijnbi6nndg7wi4,0.5992560386657715,"['macro', 'derivatives']","[0.5992560386657715, 0.5905114412307739]"
2026-05-01T02:32:20.666214Z,2026-05-01T02:32:21.273Z,avis stock rockets amidst frenzied short squeeze fundamentals lag avis stock car rose over 500 in april 2026 due to a short squeeze learn why this happened and why analysts are worried about the companys value avisstoc,newsletter-tf.bsky.social,NewsletterTF,did:plc:vrqzmtmih5jrblyeahh65fhk,0,0,0,at://did:plc:vrqzmtmih5jrblyeahh65fhk/app.bsky.feed.post/3mkr3lyny4b2k,bafyreifrvxl66lgegxpqa3hwhhobotqn37zccaolhacxwimtb2cfqumg7u,0.6397002339363098,"['equities', 'portfolio']","[0.6397002339363098, 0.6177202463150024]"
2026-05-01T02:26:29.991057Z,2026-05-01T02:26:31.076Z,avis stock surged over 500 in april 2026 forcing short sellers to buy shares which pushed prices up even more,newsletter-tf.bsky.social,NewsletterTF,did:plc:vrqzmtmih5jrblyeahh65fhk,0,0,0,at://did:plc:vrqzmtmih5jrblyeahh65fhk/app.bsky.feed.post/3mkr3bka7bo2f,bafyreiezn4i6wwceflbh6wlbevgyq43hghvr7yjyyouylzmc7jepte6eru,0.6455224752426147,"['equities', 'crypto']","[0.6455224752426147, 0.6228640079498291]"
2026-05-01T00:36:56.455Z,2026-05-01T00:36:56.576Z,despite recent outflows april saw substantial net inflows for bitcoin etfs suggesting a pause rather than an exit by institutional investors with potential for a short squeeze if demand returns,rwatimes.bsky.social,RWATimes.io,did:plc:553eofo6hvuxcsxo7qfidxjs,1,0,1,at://did:plc:553eofo6hvuxcsxo7qfidxjs/app.bsky.feed.post/3mkqv5na6zo2h,bafyreiexctfldnoryvyeeimqp5cutuxkr6zkal422m25uufv6ri6ruzfzy,0.678357720375061,"['crypto', 'equities']","[0.678357720375061, 0.6150726079940796]"
